Name,Photo,Contact,Role,Institution,Institution Description,Festival Role,Attendance,Bio,Conversation Tip,Institution Link
Min-Chen Chang,,,Artist / Contributor,TW,,Project – Alignment,Probably,"Contributor to “Alignment”: Where humans once interpreted the world, machines now reduce it to data. In this future archaeology, humanity exists as fragmented signals and unresolvable anomalies. Scanning surfaces to reconstruct environments, machines find humans unreadable—no longer the center, but a glitc…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Min-hyub Hwang,,,Artist / Contributor,KR,,Project – 1KM,Probably,"Contributor to “1KM”: 1KM turns scrolling into a physical record. At set times, visitors scroll an Instagram-like feed. Their actions print a receipt to take away, while a second strip feeds a shared paper archive. These become a growing ""graveyard,"" revealing the unnoticed distance of digital consum…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Minghong Zhang,,,Artist / Contributor,CN,,Project – 0.5–100 Hz,Probably,"Contributor to “0.5–100 Hz”: 0.5–100 Hz explores empathy across bodies and interfaces. Inter-brain synchronization is made visible through the movements of two shape-changing robotic devices, generating a shared experience of distance, motion and connection.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Mira Maierhofer,,,Artist / Contributor,AT,,Project – Round Dance – Stories from the Countries of Plants,Probably,"Contributor to “Round Dance – Stories from the Countries of Plants”: Plants share an experience beyond human perception. Inspired by Stefano Mancuso’s The Nation of Plants, a playful manifesto for respectful coexistence, this work explores models of cohabitation adopted from botanical principles.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Miriam Hamann,,,Exhibiting artist,AT,,Exhibition – Stellar Atmospheres,Probably,"Contributor to “Stellar Atmospheres”: Stellar Atmospheres explores the work of the women astrophysicists collectively known as the “Harvard Computers”, who mapped the night sky around the year 1900. The exhibition translates historical systems of astronomical observation into sculptural forms, reflecting on visibili…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Miriam Sára Nagy,,,Artist / Contributor,HU,,Project – Immersive Beats,Probably,"Contributor to “Immersive Beats”: Born from a cross-cultural collaboration between Korean and Hungarian students, the project combines Artificial Intelligence, music and immersive filmmaking techniques to create original 360-degree music videos.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Mirjam Bär,,,Artist / Contributor,AT,,"Project – Alphus Masculus; Project – Hello, how are you?",Probably,Contributor to “Alphus Masculus”: The interactive artwork Alphus Masculus: The Lifelike Alpha Male will give visitors tips on how to become a real “alpha male” if they get close to him.,Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Mirna Zordan,,,Artist / Contributor,IT,,Project – 0.5–100 Hz,Probably,"Contributor to “0.5–100 Hz”: 0.5–100 Hz explores empathy across bodies and interfaces. Inter-brain synchronization is made visible through the movements of two shape-changing robotic devices, generating a shared experience of distance, motion and connection.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Misagh Saboori,,https://www.instagram.com/misaghsaboori,Artist / Participant,IR Iran,,Project – Intimate Triage,Probably,"Misagh Saboori is a technical artist and motion designer who explores the intersection of immersive XR, interactive art and machine intelligence. Driven by a strong visual aesthetics, he transforms complex technical pipelines—from real-time rendering to AI-driven systems—into responsive digital experiences. His work focuses on crafting autonomous virtual entities and dynamic environments, constantly pushing the expressive and emotional boundaries of human-computer interaction.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,https://linktr.ee/misaghsaboori
Misako Kawata,,,Open Lab contributor,JP,,Open Lab – Hello Words! Behind the Prototype: How Ideas Become Experiences; Open Lab – Hello Worlds! Behind the Prototype: Resonance Loom,Definitely,Contributor to “Hello Worlds! Behind the Prototype: Resonance Loom”: What do weaving and AI have in common? Explore this question together with the Ars Electronica Futurelab team behind the Resonance Loom in the new Hello Worlds! exhibition and platform in the Ars Electronica Center.,Ask about their work in Open Lab and possible exchange or residency ideas with hosq in Armenia.,
Mittelschule Kettenbrücke,,,Artist / Contributor,AT,,"Project – 12.5 square meters—space for a car, or…",Definitely,"Contributor to “12.5 square meters—space for a car, or…”: The project started with an empty parking space in the schoolyard and the children’s complaints about the lack of space to move around.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Mobina Vatandoost,,,Musician / Performer,IR,,"Concert – Post-Digital Instruments Concert – Tangible Music Lab, University of Arts Linz",Definitely,"Contributor to “Post-Digital Instruments Concert – Tangible Music Lab, University of Arts Linz”: The Post-Digital Instruments Concert features a performance for bassoon and electronics by Sandra Muciño and a collaboratively developed composition on instruments with a post-digital reference by the Post-Digital Ensemble.",Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,
moderated by Andrea Barschdorf-Hager,,,Speaker,AT,,Lecture & Talk – Who Shapes the Future?,Definitely,Contributor to “Who Shapes the Future?”: Who gets to shape the future of Artificial Intelligence—and whose voices risk being left out?,Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
moderated by Julia Kloiber,,,Panelist,"AT, DE",,"Panel Discussion – What Alternatives? Power, Labour, Planet",Definitely,"Contributor to “What Alternatives? Power, Labour, Planet”: From diagnosis to alternatives. Data centres are arriving in European regions faster than grids, water systems and planning authorities can absorb them and the public is rarely asked.",Ask about their work in Panel Discussion and possible exchange or residency ideas with hosq in Armenia.,
Mohamad Alzhouri,,,Artist / Contributor,DE,,Project – Urban Screen Lab,Definitely,"Contributor to “Urban Screen Lab”: As part of this laboratory for digital practice, the media façade of the Ars Electronica Center becomes an experimental field for a young generation of media artists. Under the artistic direction of Dawid Liftinger and Karin Balkenhol, six independent works for the iconic façade…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
